Month,Year,Properties_Under_Management,Total_Rent_Collected,Management_Fees,Placement_Fees,Renewal_Fees,Maintenance_Markup,Other_Fees,Total_Revenue,Operating_Expenses,Net_Profit
March,2025,3,7100,710,2800,0,45,25,3580,700,2880
April,2025,4,9900,990,2100,0,85,40,3215,750,2465
May,2025,4,9900,990,0,150,110,35,1285,720,565
June,2025,5,12700,1270,2100,0,135,60,3565,780,2785
July,2025,5,12700,1270,0,300,95,50,1715,760,955
August,2025,6,14900,1490,0,0,175,65,1730,820,910
September,2025,6,14900,1490,0,0,125,50,1665,850,815
October,2025,7,17100,1710,2100,0,180,75,4065,950,3115
November,2025,7,17100,1710,0,300,95,50,2155,900,1255
December,2025,7,17100,1710,0,0,210,100,2020,920,1100
January,2026,8,19400,1940,2800,0,145,80,4965,1100,3865
February,2026,8,19400,1940,0,450,190,120,2700,1050,1650
